Time, BusVolt, PhaseCur, RPM, DriverTemp, MotroTemp, MotorAngle, DcCur, TPS
'23:39:44.6391',38.3,0.0,7384.6,55.2,54.9,92.8,0.0,0.0
'23:39:44.7482',38.3,0.0,7111.1,55.2,54.9,105.1,0.0,0.0
'23:39:44.8548',38.3,0.0,6837.6,55.2,54.9,289.3,0.0,0.0
'23:39:44.9711',38.3,0.0,6564.1,55.2,54.9,285.5,0.0,0.0
'23:39:45.0749',38.3,0.0,6290.6,55.2,54.9,235.8,0.0,0.0
'23:39:45.1841',38.3,0.0,6017.1,55.2,54.9,27.6,0.0,0.0
'23:39:45.2911',38.3,0.0,5743.6,55.2,54.9,7.6,0.0,0.0
'23:39:45.4083',38.3,0.0,5470.1,55.2,54.9,68.3,0.0,0.0
'23:39:45.5130',38.3,0.0,5196.6,55.2,54.9,327.6,0.0,0.0
'23:39:45.6220',38.3,0.0,4923.1,55.2,54.9,356.0,0.0,0.0
'23:39:45.7339',38.2,0.0,4649.6,54.9,54.9,335.9,0.0,0.0
'23:39:45.8433',38.2,0.0,4376.1,54.9,54.9,299.8,0.0,0.0
'23:39:45.9514',38.2,0.0,4102.6,54.9,54.9,295.9,0.0,0.0
'23:39:46.0617',38.2,0.0,3829.1,54.9,54.9,278.5,0.0,0.0
'23:39:46.1669',38.2,0.0,3555.6,54.9,54.9,86.5,0.0,0.0
'23:39:46.2844',38.2,0.0,3282.1,54.9,54.9,131.1,0.0,0.0
'23:39:46.3857',38.2,0.0,3008.5,54.9,54.9,202.3,0.0,0.0
'23:39:46.5006',38.2,0.0,2735.0,54.9,54.9,295.3,0.0,0.0
'23:39:46.6117',38.2,0.0,2461.5,54.9,54.9,70.9,0.0,0.0
'23:39:46.7185',38.2,0.0,2188.0,54.9,54.9,18.6,0.0,0.0
'23:39:46.8285',38.1,0.0,1914.5,54.9,54.9,235.2,0.0,0.0
'23:39:46.9322',38.1,0.0,1641.0,54.9,54.9,306.4,0.0,0.0
'23:39:47.0453',38.1,0.0,1367.5,54.9,54.9,181.6,0.0,0.0
'23:39:47.1513',38.1,0.0,1094.0,54.9,54.9,317.4,0.0,0.0
'23:39:47.2618',38.1,0.0,820.5,54.9,54.9,297.4,0.0,0.0
'23:39:47.3749',38.1,0.0,547.0,54.9,54.9,89.2,0.0,0.0
'23:39:47.4829',38.1,0.0,273.5,54.9,54.9,117.6,0.0,0.0
'23:39:47.5913',38.1,0.0,0.0,54.9,54.9,97.6,0.0,0.0
'23:39:47.7091',38.1,0.0,0.0,54.9,54.9,330.3,0.0,0.0
'23:39:47.8081',38.1,0.0,0.0,54.9,54.9,213.4,0.0,0.0
'23:39:47.9203',37.9,0.0,0.0,54.9,54.9,21.4,0.0,0.0
'23:39:48.0310',37.9,0.0,0.0,54.9,54.9,256.7,0.0,0.0
'23:39:48.1394',37.9,0.0,0.0,54.9,54.9,236.7,0.0,0.0
'23:39:48.2454',37.9,0.0,0.0,54.9,54.9,12.3,0.0,0.0
'23:39:48.3536',37.9,0.0,0.0,54.9,54.9,352.4,0.0,0.0
'23:39:48.4853',37.9,0.0,0.0,54.9,54.9,289.6,0.0,0.0
'23:39:48.5938',37.9,0.0,0.0,54.9,54.9,81.4,0.0,0.0
'23:39:48.7007',37.9,0.0,0.0,54.9,54.9,61.4,0.0,0.0
'23:39:48.8160',37.9,0.0,0.0,54.9,54.9,89.8,0.0,0.0
'23:39:48.9220',37.8,0.0,0.0,54.9,54.9,257.9,0.0,0.0
'23:39:49.0300',37.8,0.0,0.0,54.9,54.9,68.6,0.0,0.0
'23:39:49.1370',37.8,0.0,0.0,54.9,54.9,16.3,0.0,0.0
'23:39:49.2564',37.8,0.0,0.0,54.9,54.9,60.8,0.0,0.0
